well,sample,condition,well_type
A1,unused,unused,unused
A2,unused,unused,unused
A3,unused,unused,unused
A4,unused,unused,unused
A5,unused,unused,unused
A6,unused,unused,unused
A7,unused,unused,unused
A8,unused,unused,unused
A9,unused,unused,unused
A10,unused,unused,unused
A11,unused,unused,unused
A12,unused,unused,unused
B1,unused,unused,unused
B2,unused,unused,unused
B3,unused,unused,unused
B4,unused,unused,unused
B5,unused,unused,unused
B6,blank,all,blank
B7,unused,unused,unused
B8,unused,unused,unused
B9,unused,unused,unused
B10,unused,unused,unused
B11,unused,unused,unused
B12,unused,unused,unused
C1,unused,unused,unused
C2,unused,unused,unused
C3,unused,unused,unused
C4,unused,unused,unused
C5,unused,unused,unused
C6,blank,all,blank
C7,unused,unused,unused
C8,unused,unused,unused
C9,unused,unused,unused
C10,unused,unused,unused
C11,unused,unused,unused
C12,unused,unused,unused
D1,unused,unused,unused
D2,siNT,0mM,sample
D3,siNT,0mM,sample
D4,siNT,0mM,sample
D5,siNT,0mM,sample
D6,blank,all,blank
D7,siNT,2mM,sample
D8,siNT,2mM,sample
D9,siNT,2mM,sample
D10,siNT,2mM,sample
D11,unused,unused,unused
D12,unused,unused,unused
E1,unused,unused,unused
E2,siCIAO,0mM,sample
E3,siCIAO,0mM,sample
E4,siCIAO,0mM,sample
E5,siCIAO,0mM,sample
E6,blank,all,blank
E7,siCIAO,2mM,sample
E8,siCIAO,2mM,sample
E9,siCIAO,2mM,sample
E10,siCIAO,2mM,sample
E11,unused,unused,unused
E12,unused,unused,unused
F1,unused,unused,unused
F2,siFAM,0mM,sample
F3,siFAM,0mM,sample
F4,siFAM,0mM,sample
F5,siFAM,0mM,sample
F6,blank,all,blank
F7,siFAM,2mM,sample
F8,siFAM,2mM,sample
F9,siFAM,2mM,sample
F10,siFAM,2mM,sample
F11,unused,unused,unused
F12,unused,unused,unused
G1,unused,unused,unused
G2,siMMS,0mM,sample
G3,siMMS,0mM,sample
G4,siMMS,0mM,sample
G5,siMMS,0mM,sample
G6,blank,all,blank
G7,siMMS,2mM,sample
G8,siMMS,2mM,sample
G9,siMMS,2mM,sample
G10,siMMS,2mM,sample
G11,unused,unused,unused
G12,unused,unused,unused
H1,unused,unused,unused
H2,unused,unused,unused
H3,unused,unused,unused
H4,unused,unused,unused
H5,unused,unused,unused
H6,unused,unused,unused
H7,unused,unused,unused
H8,unused,unused,unused
H9,unused,unused,unused
H10,unused,unused,unused
H11,unused,unused,unused
H12,unused,unused,unused
